dealership_name,days,open_time,closing_time,brand,car_name,price_euro,phone_number,email,address
Nova autokuca,SUN,,,Volkswagen,Golf 8,27453.56,+385 98 765 4321,other@mail.hr,"Nova Ulica, 10000, Zagreb"
Nova autokuca,SAT,09:00:00,13:00:00,Volkswagen,Golf 8,27453.56,+385 98 765 4321,other@mail.hr,"Nova Ulica, 10000, Zagreb"
Nova autokuca,MON-FRI,09:00:00,18:00:00,Volkswagen,Golf 8,27453.56,+385 98 765 4321,other@mail.hr,"Nova Ulica, 10000, Zagreb"
Nova autokuca,SUN,,,Audi,A3,26591,+385 98 765 4321,other@mail.hr,"Nova Ulica, 10000, Zagreb"
Nova autokuca,SAT,09:00:00,13:00:00,Audi,A3,26591,+385 98 765 4321,other@mail.hr,"Nova Ulica, 10000, Zagreb"
Nova autokuca,MON-FRI,09:00:00,18:00:00,Audi,A3,26591,+385 98 765 4321,other@mail.hr,"Nova Ulica, 10000, Zagreb"
Ime,SUN,,,Volkswagen,Golf 8,27453.56,+385 91 234 5678,some@mail.hr,"Ulica, 10000, Zagreb"
Ime,SAT,09:00:00,13:00:00,Volkswagen,Golf 8,27453.56,+385 91 234 5678,some@mail.hr,"Ulica, 10000, Zagreb"
Ime,MON-FRI,09:00:00,18:00:00,Volkswagen,Golf 8,27453.56,+385 91 234 5678,some@mail.hr,"Ulica, 10000, Zagreb"
Ime,SUN,,,Audi,A3,26591,+385 91 234 5678,some@mail.hr,"Ulica, 10000, Zagreb"
Ime,SAT,09:00:00,13:00:00,Audi,A3,26591,+385 91 234 5678,some@mail.hr,"Ulica, 10000, Zagreb"
Ime,MON-FRI,09:00:00,18:00:00,Audi,A3,26591,+385 91 234 5678,some@mail.hr,"Ulica, 10000, Zagreb"
DaCar automobili,MON-FRI,09:00:00,18:00:00,Volkswagen,Golf 8,27453.56,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
DaCar automobili,SAT,09:00:00,14:00:00,Volkswagen,Golf 8,27453.56,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
DaCar automobili,SUN,,,Volkswagen,Golf 8,27453.56,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
DaCar automobili,MON-FRI,09:00:00,18:00:00,BMW,X4 M,90340,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
DaCar automobili,SAT,09:00:00,14:00:00,BMW,X4 M,90340,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
DaCar automobili,SUN,,,BMW,X4 M,90340,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
DaCar automobili,MON-FRI,09:00:00,18:00:00,BMW,8 Series Gran Coupe,90340,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
DaCar automobili,SAT,09:00:00,14:00:00,BMW,8 Series Gran Coupe,90340,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
DaCar automobili,SUN,,,BMW,8 Series Gran Coupe,90340,+385 1 388 8866,info@dacar.hr,"Ul. Roberta Frangeša Mihanovića 11, 10000, Zagreb"
Info Max Cars d.o.o,MON-FRI,09:00:00,17:00:00,Audi,e-tron GT,114538,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,SAT,09:00:00,13:00:00,Audi,e-tron GT,114538,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,SUN,,,Audi,e-tron GT,114538,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,MON-FRI,09:00:00,17:00:00,Audi,RS 7 Sportback,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,SAT,09:00:00,13:00:00,Audi,RS 7 Sportback,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,SUN,,,Audi,RS 7 Sportback,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,MON-FRI,09:00:00,17:00:00,BMW,X4 M,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,SAT,09:00:00,13:00:00,BMW,X4 M,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,SUN,,,BMW,X4 M,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,MON-FRI,09:00:00,17:00:00,BMW,8 Series Gran Coupe,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,SAT,09:00:00,13:00:00,BMW,8 Series Gran Coupe,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Info Max Cars d.o.o,SUN,,,BMW,8 Series Gran Coupe,90340,+385 95 527 5550,info@maxcars.hr,"Lanište 26, 10020, Zagreb"
Neko novo ime,SAT,09:00:00,14:00:00,Volkswagen,Golf 8,27453.56,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Neko novo ime,SUN,,,Volkswagen,Golf 8,27453.56,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Neko novo ime,MON-FRI,08:00:00,17:00:00,Volkswagen,Golf 8,27453.56,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Neko novo ime,SAT,09:00:00,14:00:00,Volkswagen,Arteon,41476.42,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Neko novo ime,SUN,,,Volkswagen,Arteon,41476.42,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Neko novo ime,MON-FRI,08:00:00,17:00:00,Volkswagen,Arteon,41476.42,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Neko novo ime,SAT,09:00:00,14:00:00,Mercedes-Benz,C-Class,71300,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Neko novo ime,SUN,,,Mercedes-Benz,C-Class,71300,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Neko novo ime,MON-FRI,08:00:00,17:00:00,Mercedes-Benz,C-Class,71300,+385 98 765 4321,novi@mail.com,"Ilica, 10000, Zagreb"
Nova autokuca,SUN,,,Volkswagen,Golf 8,27453.56,+385 98 765 4321,other@mail.hr,"Nova Ulica, 10000, Zagreb"
